EntryDate;Data Planejada;Data Realizado;Chamado;Resumo;Posto (Cod.);Formulário;Empresa
19/01/17;10/04/17;;Agendado;N/A;6005;SURVEY ICR;E2i9
19/01/17;25/04/17;;Agendado;N/A;6005;INFRAESTRUTURA ICR;E2i9
19/01/17;26/04/17;;Agendado;N/A;6005;CONEXÃO ICR;E2i9
19/01/17;30/01/17;;Agendado;N/A;6011;SURVEY ICR;E2i9
19/01/17;15/02/17;;Agendado;N/A;6011;INFRAESTRUTURA ICR;E2i9
19/01/17;16/02/17;;Agendado;N/A;6011;CONEXÃO ICR;E2i9
19/01/17;14/02/17;;Agendado;N/A;6013;SURVEY ICR;E2i9
19/01/17;23/02/17;;Agendado;N/A;6013;INFRAESTRUTURA ICR;E2i9
19/01/17;24/02/17;;Agendado;N/A;6013;CONEXÃO ICR;E2i9
19/01/17;14/02/17;;Agendado;N/A;6025;SURVEY ICR;E2i9
19/01/17;02/03/17;;Agendado;N/A;6025;INFRAESTRUTURA ICR;E2i9
19/01/17;03/03/17;;Agendado;N/A;6025;CONEXÃO ICR;E2i9
19/01/17;03/03/17;;Agendado;N/A;6032;SURVEY ICR;E2i9
19/01/17;07/03/17;;Agendado;N/A;6032;INFRAESTRUTURA ICR;E2i9
19/01/17;08/03/17;;Agendado;N/A;6032;CONEXÃO ICR;E2i9
19/01/17;03/04/17;;Agendado;N/A;6038;SURVEY ICR;E2i9
19/01/17;18/04/17;;Agendado;N/A;6038;INFRAESTRUTURA ICR;E2i9
19/01/17;19/04/17;;Agendado;N/A;6038;CONEXÃO ICR;E2i9
19/01/17;03/03/17;;Agendado;N/A;6043;SURVEY ICR;E2i9
19/01/17;09/03/17;;Agendado;N/A;6043;INFRAESTRUTURA ICR;E2i9
19/01/17;10/03/17;;Agendado;N/A;6043;CONEXÃO ICR;E2i9
19/01/17;06/03/17;;Agendado;N/A;6045;SURVEY ICR;E2i9
19/01/17;14/03/17;;Agendado;N/A;6045;INFRAESTRUTURA ICR;E2i9
19/01/17;15/03/17;;Agendado;N/A;6045;CONEXÃO ICR;E2i9
19/01/17;05/01/17;;Agendado;N/A;6049;SURVEY ICR;E2i9
19/01/17;26/01/17;;Agendado;N/A;6049;INFRAESTRUTURA ICR;E2i9
19/01/17;27/01/17;;Agendado;N/A;6049;CONEXÃO ICR;E2i9
19/01/17;12/10/16;;Agendado;N/A;6079;INFRAESTRUTURA ICR;E2i9
19/01/17;12/10/16;;Agendado;N/A;6079;SURVEY ICR;E2i9
19/01/17;13/10/16;;Agendado;N/A;6079;CONEXÃO ICR;E2i9
19/01/17;06/03/17;;Agendado;N/A;6115;SURVEY ICR;E2i9
19/01/17;16/03/17;;Agendado;N/A;6115;INFRAESTRUTURA ICR;E2i9
19/01/17;17/03/17;;Agendado;N/A;6115;CONEXÃO ICR;E2i9
19/01/17;13/03/17;;Agendado;N/A;6138;SURVEY ICR;E2i9
19/01/17;21/03/17;;Agendado;N/A;6138;INFRAESTRUTURA ICR;E2i9
19/01/17;22/03/17;;Agendado;N/A;6138;CONEXÃO ICR;E2i9
19/01/17;13/03/17;;Agendado;N/A;6219;SURVEY ICR;E2i9
19/01/17;23/03/17;;Agendado;N/A;6219;INFRAESTRUTURA ICR;E2i9
19/01/17;24/03/17;;Agendado;N/A;6219;CONEXÃO ICR;E2i9
19/01/17;20/03/17;;Agendado;N/A;6249;SURVEY ICR;E2i9
19/01/17;28/03/17;;Agendado;N/A;6249;INFRAESTRUTURA ICR;E2i9
19/01/17;29/03/17;;Agendado;N/A;6249;CONEXÃO ICR;E2i9
19/01/17;20/03/17;;Agendado;N/A;6254;SURVEY ICR;E2i9
19/01/17;30/03/17;;Agendado;N/A;6254;INFRAESTRUTURA ICR;E2i9
19/01/17;31/03/17;;Agendado;N/A;6254;CONEXÃO ICR;E2i9
19/01/17;27/03/17;;Agendado;N/A;6264;SURVEY ICR;E2i9
19/01/17;04/04/17;;Agendado;N/A;6264;INFRAESTRUTURA ICR;E2i9
19/01/17;05/04/17;;Agendado;N/A;6264;CONEXÃO ICR;E2i9
19/01/17;24/01/17;;Agendado;N/A;6286;SURVEY ICR;E2i9
19/01/17;01/02/17;;Agendado;N/A;6286;INFRAESTRUTURA ICR;E2i9
19/01/17;02/02/17;;Agendado;N/A;6286;CONEXÃO ICR;E2i9
19/01/17;30/01/17;;Agendado;N/A;6299;SURVEY ICR;E2i9
19/01/17;21/02/17;;Agendado;N/A;6299;INFRAESTRUTURA ICR;E2i9
19/01/17;22/02/17;;Agendado;N/A;6299;CONEXÃO ICR;E2i9
19/01/17;17/04/17;;Agendado;N/A;6316;SURVEY ICR;E2i9
19/01/17;04/05/17;;Agendado;N/A;6316;INFRAESTRUTURA ICR;E2i9
19/01/17;05/05/17;;Agendado;N/A;6316;CONEXÃO ICR;E2i9
19/01/17;24/01/17;;Agendado;N/A;6345;SURVEY ICR;E2i9
19/01/17;08/02/17;;Agendado;N/A;6345;INFRAESTRUTURA ICR;E2i9
19/01/17;09/02/17;;Agendado;N/A;6345;CONEXÃO ICR;E2i9
19/01/17;13/04/17;;Agendado;N/A;6363;SURVEY ICR;E2i9
19/01/17;02/05/17;;Agendado;N/A;6363;INFRAESTRUTURA ICR;E2i9
19/01/17;03/05/17;;Agendado;N/A;6363;CONEXÃO ICR;E2i9
19/01/17;27/03/17;;Agendado;N/A;6412;SURVEY ICR;E2i9
19/01/17;06/04/17;;Agendado;N/A;6412;INFRAESTRUTURA ICR;E2i9
19/01/17;07/04/17;;Agendado;N/A;6412;CONEXÃO ICR;E2i9
19/01/17;03/04/17;;Agendado;N/A;6489;SURVEY ICR;E2i9
19/01/17;11/04/17;;Agendado;N/A;6489;INFRAESTRUTURA ICR;E2i9
19/01/17;12/04/17;;Agendado;N/A;6489;CONEXÃO ICR;E2i9
19/01/17;10/04/17;;Agendado;N/A;6491;SURVEY ICR;E2i9
19/01/17;27/04/17;;Agendado;N/A;6491;INFRAESTRUTURA ICR;E2i9
19/01/17;28/04/17;;Agendado;N/A;6491;CONEXÃO ICR;E2i9
19/01/17;05/01/17;;Agendado;N/A;6522;SURVEY ICR;E2i9
19/01/17;11/01/17;;Agendado;N/A;6522;INFRAESTRUTURA ICR;E2i9
19/01/17;12/01/17;;Agendado;N/A;6522;CONEXÃO ICR;E2i9
